abacus	n．算盘
tangy	a.强烈的，扑鼻的
tank	n.箱，罐；坦克
tanner	n．制革工人
tantalize	v.(以可望而不可及之物)挑惹，挑逗
tantalizing	v.逗引;挑逗;撩拨
tantamount	a.与…相等的
tantrum	n.发脾气，发怒(尤指儿童)
tap	v.开发, 利用
taper	n.细蜡烛；v.(长形物体的)逐渐变细
tapestry	n.挂毯
tar	n.柏油，焦油
tarantula	n.狼蛛;塔兰托毒蛛
tardive	a.(疾病)延迟发作的
tardy	a.缓慢的，迟缓的
tare	n.莠草，杂草
target	n.靶子；目标；攻击 v.把…作为目标
tariff	n.关税
tarn	n．山中的小湖或水潭
tarnish	n./v.失去光泽，晦暗
tarpaulin	n.防水油布
tarry	v.耽搁，延迟
tart	a.酸的；尖酸的
tartan	n.单桅三角帆船;格子花
task	n.任务;工作
tassel	n．流苏，穗
taste	v.品尝
tasty	a.味道好的
tatter	n.碎布；破布条
tattered	adj．衣衫褴褛的，破旧的
tattle	v.闲谈，泄密
tatty	a.破烂的，不整洁的
taunt	v．嘲笑，讥笑
taut	a.绷紧的，拉进的
tauten	v.拉紧，绷紧
tautological	adj．冗赘的，用语重复的
tawdry	a.华而不实的，俗丽的
tawny	n.黄褐色
taxation	n.征税，税收，税金
taxing	a.繁重的
taxonomist	n.分类学家
taxonomy	n．（动植物的）分类学
tear	v.撕裂
tease	v.逗乐，戏弄；强求，勒索(用甜言蜜语)；n.揶揄，戏弄，取笑
teat	n．奶嘴，奶头
technical	a.技术(性)的，工艺的；专门性的
technician	n.技术员，技师
technique	n.技巧，手艺；技能，技术
technocrat	n.技术管理人员
teddybear	n.泰迪熊
tedious	a.因冗长而沉闷、乏味的
tedium	n.单调乏味
teem	v．充满，到处都是v．倾盆大雨
teeter	v.摇晃地站立或移动
teetotal	adj．滴酒不沾的
tektite	n.［地］熔融石
telecommunication	n.通讯，电信
telepathy	n．心灵感应，精神感应
telescope	n.望远镜
telex	n.电传
telling	a.有效的，显著的
telltale	n.告密者
temblor	n.［美］地震
temerity	n.鲁莽，大胆
temp	v.做临时工作
temper	v.锤炼；缓和；n.脾气
temperament	n.气质, 性情
temperamental	adj．性情的，喜怒无常的
temperance	n.自制,节制,禁酒
temperate	adj．自制的
temperature	n.温度
tempest	n.暴风雨；骚动，风波
tempestuous	a.有暴风雨的；动乱的
tempo	n.(动作、生活的)步调，速度；(乐曲的)拍子
temporal	a.时间的；世俗的
temporary	adj．短暂的，暂时的
temporize	v.拖延时间(暂缓决定或说明)；见风使舵，顺应时势
tempt	v.引诱；吸引
temptation	n.诱惑，诱惑物
tenable	a.站得住脚的，无懈可击的，可防守的
tenacious	a.坚韧不拔的，坚决的
tenacity	n.坚持，固执
tenancy	n. 租佃,租赁
tenant	n.房客，租户
tend	v.照料，看顾；倾向于…，易于…
tendency	n.趋势，倾向
tendentious	a.有偏见的，有倾向性的
tender	v.提出(希望对方接受的意见等)；a.温柔的
tenderfoot	n.生手，新手
tendinous	a.腱的
tenet	n.信念；信条；教义
tenon	n.凸榫，榫舌
tenor	n.男高音；要点，要旨
tense	a.拉紧的
tensile	a.可伸展的
tension	n.紧张，焦虑；张力
tentacle	n.触角, 触手
tentative	a.试探性的，尝试性的
tenterhooks	n.坐立不安
tenuous	a.细薄的，稀薄的；空洞的，无关紧要的
tenure	n.任期；终身职位
tepid	a.微温的
term	n.学期；期限；术语；(pl.)条件
terminable	adj．可终止的
terminal	a.末端的；n.终点站，终端
terminate	v.终止，结束
termination	n.终点
terminology	n.专用术语；术语学
terminus	n.(火车，汽车)终点站
termite	n.白蚁
terpsichorean	adj．舞蹈的
terra-cotta	n.赤土,赤陶,一种带褐色的柑子
terrace	n.一层梯田；阳台
terrain	n.地势，地形
terrapin	n．泥龟，水龟
terrestrial	a.地球的；陆地的
terrific	a.极好的，了不起的；极大的，极度的
terrify	v.吓唬，惊吓
territorial	a.领土的，土地的，地方的
territory	n.地区
terror	n.恐怖，惊恐
terrorism	n.恐怖主义
terse	a.简洁的，简明的
tertiary	a. 第三的,第三位的,第三世纪的
tessellated	a.棋盘格的
testament	n.遗嘱；证明
testator	n.立遗嘱的人
testify	v.见证，证实(尤指出庭)
testimonial	n．证明书，奖状
testimony	n.证词，证明
testiness	n.易怒
testy	a.性急的，暴躁的
tether	v.用绳或链拴住(牲畜)；n.(拴牲畜的)绳或链；(能力等的)限度，范围
tetrad	n. 四个,四个一组,四分染色体
text	n．（演讲等）原文
textile	n.纺织品，织物
texture	n.质地；结构
thatch	v.以茅草覆盖；n.茅草屋顶，茅草
thaw	v.解冻，溶化
the Bering sea	n.白令海
the Federal Reserve	n.美联储
the fifth power of two	n.2的5次幂
the Great Lakes	n.北美洲五大湖
the Parthenon	n.帕特农神庙
the Warsaw Pact	n.华沙条约
theatrical	adj．戏剧的，矫揉造作的
theft	n.偷窃，盗窃
theism	n．一神论，有神论
thematic	a.主题的
theme	n.话题，主题
theocracy	n.神权政治
theology	n．神学，宗教
theoretical	a.不切实际的；理论(上)的
therapeutic	a.治病的，治疗的
therapy	n．疗法
thereafter	ad.此后，据此
thereby	ad.因此，从而
therefore	adv.所以;因此;因而
thermal	a.热的，热量的；温暖的；n.热气流
thermodynamics	n.热力学
thermometer	n.温度计
thermostat	n. 自动调温器,温度调节装置
thesaurus	n.词典，分类词汇汇编
thesis	n.论题，论文
thespian	adj．戏剧的，演戏的
thicket	n.树丛，灌木丛
thigh	n.大腿
thinner	a. thin的比较级
thirst	n.口渴
thorn	n.(植物的)刺；荆棘
thorny	adj.1.有刺的;多刺的2.困难多的;棘手的
thorough	a.彻底的，完全的；仔细周到的，精心的
thoroughgoing	a.完全的
thoughtful	a.沉思的；体贴的，关心的
thrall	n．奴隶，农奴
thrash	v．鞭打，乱蹦乱跳
thread	n.螺纹
threadbare	a.磨破的；陈腐的
threat	n.威胁，恐吓；凶兆
threnody	n．挽歌，哀歌
thresh	v.脱粒;打谷
threshold	n.门槛;入门,开始;界限
thrift	n.节俭, 节约
thrifty	adj．节省的，节俭的
thrill	v.&vi.(使)激动
thrive	v.茁壮成长，繁荣兴旺
throat	n.咽喉，嗓子
throaty	adj．嗓子沙哑的
throb	v.悸动
throbbing	a. 跳动的,抽动的
throes	n.困境,痛苦
throne	n.王座，御座；王位
throng	n.一大群；v.拥挤
throttle	v.掐脖子,扼杀;
throughout	prep.遍及，贯穿 ad.到处，自始至终
throwback	n.(生)返祖现象
thrust	v.猛力推；刺，戳
thumb	n.拇指
thump	v.重击, 砰然地响
thunder	n.雷；轰隆响 vi.打雷，轰隆响
thwart	v.阻挠成事，阻止(计划等)实现
thyroid	a.［解］甲状腺的,
tibia	n. 胫骨,胫节,从前的一种笛
tick	n.滴嗒声；勾 v.滴嗒地响；在…上打勾
tickle	v.呵痒
tickler	n.棘手的问题，难题
ticklish	a.怕痒的；易怒的
tiddler	n.很小的鱼，小孩
tide	n.潮，潮汐；潮流，趋势
tidings	n.消息
tidy	a.整齐的，整洁的
tier	n.列, 行, 层
tiff	n.吵嘴，呕气
tight triangle	n.直角三角形
tighten	n.(使)变紧；(使)绷紧
tightfisted	a.吝啬的，极小气的
tightwad	n.吝啬鬼
tile	n.瓦片、瓷砖 v.铺瓦于，贴砖于
tiller	n.舵柄
tilt	v.(使)倾斜；n.倾斜，斜坡
tilted	adj.倾斜的
timber	n.木材；(人)品质
timbre	n.音色，音质
time	n.时间；次；时期；倍；(pl.)时代
timely	a.适时的，及时的
times	n.倍
timeworn	a.陈旧的;古旧的
timid	a.胆怯的
timidity	n.胆怯
timorous	a.胆小的，胆怯的
tin	n.锡 n.罐头
tinder	n.火种，易燃物，引火物
tined	a.尖的，尖头突出的
tinge	n.(较淡的)色调,色彩;气息
tingle	v.感到刺痛
tinker	n.补锅工人；v.拙劣修补
tint	n.淡色；色泽(颜色深淡的程度)；v.给…淡淡地着色
tiny	a.极小的
tip	n.尖端
tipple	n.常喝的酒
tirade	n.长篇的攻击性讲话
tire	n.轮胎(tyre)；v.疲劳
tissue	n.细胞组织；薄纸，棉纸
titanic	a.巨人的，力大无比的
tithe	n.捐税，捐款
titillate	v.使觉得痒，使……兴奋
titivate	v.打扮自己
title	n.标题；头衔，称号
titter	v.干笑
titular	a.有名无实的，名义上的
toad	n.蟾蜍，癞蛤蟆
toady	n.谄媚者，马屁精
toast	n.祝酒(辞);烤面包
toddle	vi.(尤指幼儿)摇摇摆摆地走
toddler	n.蹒跚而行的人;学步小孩
toe	n.足尖；脚趾
toga	n.托加袍
toil	v./n.长时间辛勤劳作
token	n.表示, 象征
tolerable	a. 可容忍的,可以的
tolerance	n.容许偏差，公差；容忍，忍受
tolerate	v.宽恕，容忍
toll	n.过路(桥)费；伤亡人数，损失；v.(缓慢而有规律地)敲(尤指丧钟)
tomato	n.番茄
tombstone	n.墓碑，墓石
tonality	n.音质,音调
toneless	a. 缺乏声调的,单调的,沉闷的
tong	n.钳；煤钳
tongs	n.夹子，钳子
tongue	n.舌头；语言，口语
tongue-tied	a.张口结舌的
tonic	n.增进健康之物，补品；a.滋补的
tonsillectomy	［医］扁桃体切除术
tonsorial	a.理发师的，理发的
tonsure	n.剪发
tony	a.时髦的;豪华的
tool	n.:工具;器具;用具
topmost	a.最高的
topographical	a.地形的,地形学的,地形测量的
topography	n．地形学，地形
topple	v.倾覆，推倒
topsoil	n.表层地
topsy-turvy	a.混乱的
torch	n.火炬，火把；手电筒
torment	n.(肉体或精神上的)折磨，痛苦
tornado	n.飓风，龙卷风
torpedo	n.鱼雷；水雷
torpid	a.懒散的；迟缓的，迟钝的
torpor	n.懒散；迟钝
torque	n.转(力)矩，扭转力；项圈
torrent	n.洪流，急流
torrential	a.似急流的，洪流的
torrid	adj．酷热的
torso	n．（人体的）躯干，躯干像
tortillas	n.(墨西哥人用以代替面包的)未经发酵的玉米饼
tortuous	a.弯弯曲曲的
torture	n.酷刑,折磨,
torturous	a.折磨的
toss	v.(随意或漫无目的地)投，掷；使来回摇动
total	n.总数
totalitarian	a.极权主义的
totality	n．全部，总数
totem	n.图腾，徽章
totter	v.摇摇欲坠；步履蹒跚
touching	a.动人的
touchstone	n.试金石
touchy	a.敏感的，易发脾气的
tough	a.坚硬的；坚强的；艰难的
toupee	n.男用假发
tourism	n.旅游，观光；旅游业
tournament	n.比赛；(旧时)骑士比武大会
tourniquet	n.止血带
tousle	v．弄乱（头发）
tout	v.招揽顾客；极力赞扬
tow	v.拖引, 牵引n.拖, 拽
towel	n.毛巾, 手巾
tower	n.塔楼
towering	adj．耸立的，杰出的
toxic	a.有毒的，中毒的
toxin	n.毒素，毒质
toy	v.不认真地考虑；漫不经心地玩弄
trace	n.踪迹，痕迹 v.跟踪，追踪
traceable	a.可追踪的
track	n.足迹，踪迹；轨道；小道，小路；v.跟踪
tract	n.(政治或宗教内容的)传单；大片土地
tractability	n.温顺
tractable	a.易于驾驭的，温顺的
traction	n．拖拉，牵引力
tractor	n.拖拉机
trade off	以…换取
trade...in for	p.交换
tradition	n.传统；惯例，规矩
traduce	v．中伤，诽谤
tragedienne	n．悲剧女演员
tragedy	n.悲剧，惨事，灾难
trail	v.跟踪，追踪 n.足迹，痕迹；小路
trainee	n.受训者
traipse	v.令人不快地走
trait	n.人的显著特性
traitor	n.卖国贼，叛徒
traitorous	a.叛徒的,卖国贼的;奸诈的
trajectory	n.(抛射物)弹道轨道
trammel	v．n．束缚，妨碍，鱼网
tramp	v．重步走，长途跋涉
trample	v.踩坏，踏伤
trance	n.恍惚，出神；昏睡状态
tranquil	adj．宁静的，安静的
tranquility	n.宁静，安静
tranquilizer	安定药; 安神药
tranquillizer	n．镇定剂
transact	v.办理, 交易, 处理
transaction	n.办理，交易
transatlantic migrate	n.横越大西洋的移民
transcend	v.超越，胜过
transcendence	n．超越，卓越
transcendent	a.超越的，卓越的，出众的
transcendental	a.超越经验的，先验的
transcribe	v.抄写，转录
transcript	n. 抄本,副本,正式文本,成绩单
transfer	v.转移，传递；调任；转让(财产等)
transfigure	v.美化，改观(外表)
transfix	v.刺穿
transform	v.将....变形,变化(into)
transfuse	v．输血，充满
transgress	v.违背(法律或道德的限度)
transgression	n.违法
transience	n.短暂
transient	a.短暂的，转瞬即逝的
transistor	n.［无］晶体管;晶体管收音机
transit	n.通行；运输
transition	n.过渡时期，转变
transitive	a. 及物的
transitory	a.短暂的
translucent	a.(半)透明的
transmission	n.传递，传送，播送；传动装置
transmit	v.传送，传播
transmitter	n.传送者;发射机;话筒
transmogrify	v．变得古怪，变形
transmute	v.变化，变作
transnational cooperation	n. 跨国公司
transparent	a.透明的；(性格)直率的
transpire	v.发生，蒸发，泄露
transplant	v.移植；迁移 vi.移居；移植 n.移植
transplantation	n.移植
transport	v.运输；n.狂喜
transpose	v.互换位置，调换
trap	n.陷阱，圈套；两轮车 v.诱捕；使中圈套
trapeze	n.(杂技用)空中秋千
trapezium	n.梯形
trapper	n.设陷阱捕兽者
trappings	n.装点之物
trash	n．废物，垃圾
trauma	n.精神创伤
traumatic	adj．受创伤的，外伤的
travail	n．艰苦劳动，痛苦
travelogue	n．旅行见闻，游
traverse	v.横穿过，横跨
travesty	v./n.歪曲拙劣地(的)模仿
trawl	n．拖网，v．用拖网捕鱼，搜罗
treacherous	a.背叛的，不忠的；奸诈的
treachery	n．阴险，背叛
treacle	n.糖浆，过分甜蜜的声调(
tread	v.踏, 踩
treadmill	n.踏车，单调乏味的工作
treason	n.叛国罪
treasurer	n.司库
treasury	n.宝库,宝藏;国库;国库券
treatise	n.(专题)论文
treatment	n.处理，对待，款待；治疗
treaty	n.(国与国之间的)条约；(人与人之间的)协议
treble	n. 最高音部,三倍
trek	n．v．长途跋涉
tremble	v./n.发抖; 摇晃
tremendous	a.惊人的；巨大的；极好的
tremor	n.震动，地震
tremulous	adj．颤动的，不安的
trench	n.沟,壕沟
trenchant	a.(言论，论据)一针见血的，犀利的
trend	v./n.趋势，倾向
trepidation	n.恐惧，惶恐
trespass	v.侵犯，闯入私人领地
tresses	n．女人的长发
trial	n．审判，尝试
triangle	n.三角形
tribal	a.部落的,宗族的
tribe	n.部落
tribulation	n．苦难，灾难
tribunal	n.法庭，裁判所
tributary	adj．n．支流（的），进贡（的）
tribute	n.赞辞；贡物，贡品
trice	n.瞬间，顷刻
trichotomy	n.三分法(尤指神学中将人性分为肉体,灵魂,精神三部分)
trick	n.诡计，手法；把戏，玩笑；窍门 v.欺骗
trickery	n．欺骗，诡计
trickle	v.成小股流动；n.细流
tricky	a.狡猾的，奸诈的；(工作等)棘手的，微妙的
trident	n.三叉戟
trifle	n.微不足道的琐事
trifling	adj.微小的
trigger	n.扳机；v.引发，导致
trilogy	n.(小说或戏剧)三部曲
trim	v.修剪；a.井井有条的
trinket	n.小装饰品；不值钱的珠宝
trio	n.三重奏，三重唱；三人小组
triple	v.三倍于
tripod	n.画架，三脚架
trite	a.陈腐的，陈词滥调的
triumph	v./n.凯旋，胜利，欢欣
trivia	n．琐事，无价值之物
trivial	a.琐细的，不重要的
trochanter	n. 1 『动物』 (昆虫足上位于基节与腿
troglodyte	n.史前时代的穴居人，隐士
troll	v.闲逛;游荡
trophy	n.奖品，战利品
tropic	n.热带地区；回归线
tropical	a.热带的
tropics	n.热带地区
troposphere	n.对流层
trot	v./n.小跑, 慢跑
trough	n.饲料槽，饮水槽
trounce	v.痛打，严惩
troupe	n.歌唱团，剧团
trove	发掘出来的金银财宝
trowel	n.泥刀，小铲子
truancy	n.逃学，旷课
truant	n.逃避责任者；逃学者
truce	n.停战，休战(协定)
truculence	n．凶猛，粗暴
truculent	a.残暴的，凶狠的
trudge	v.跋涉，吃力地走
truism	n．自明之理，真理
trumpery	adj．中看不中用的，无价值的
trumpet	n.喇叭，小号
truncate	v.把(某物)截短，去尾
truncheon	n．警棍，警棒
trunk	n.树干；大衣箱
truss	n.桁架，支架；干草的一捆
trustworthy	a.值得信赖的，可靠的
truth	n.事实，实情；真实性；真理
trying	adj.使人痛苦的; 难受的
tryptophan	n.［生化］色氨酸
tryst	n.约会
tub	n．桶，浴盆
tube	n.管；管状物；身体上的管状器官；(英)地铁
tuber	n.(植物)块茎，球根
tuberculosis	n.结核病,肺结核(略作TB)
tubular	a.管的,由管构成的
tuck	v.卷起；使隐藏 n.(衣服的)褶
tug	v.拖, 牵引
tugboat	n．拖船
tuition	n.学费
tumble	v.跌倒;翻腾;仓促的行动
tumid	adj．肿起的，肿胀的
tumour	n. 瘤,肿块
tumult	n.乱哄哄，骚乱(声)
tumultuous	adj．乱哄哄的，喧哗的
tundra	n.冻土地带
tune	n.调子，曲调；和谐 v.(为乐器)调音；调整
tunnel	n.地道，隧道，管道 v.挖地道(或隧洞)
turbid	adj．混浊的，紊乱的
turbine	n.叶轮机,涡轮(机)
turbot	n. 比目鱼之类
turbulent	a.导致动乱的；骚乱的
tureen	n.大盖碗;汤碗
turf	n.草皮；赛马，跑马场
turgid	a.浮肿的，肿胀的；(贬)(文，语言)浮夸的
turmoil	n.混乱，骚乱
turn	n.倾向,才能
turn down	关小;调低
turncoat	n.背叛者，变节者
turnover	n.流动,流通,营业额,成交量,证券交易额
turpitude	n.邪恶，卑鄙(行为)
turquoise	n.绿松石；a.蓝绿的
turret	n.塔楼，角塔
turtle	n.海龟
tusk	n.(象)长牙
tussle	v./n.扭打，搏斗；争辩
tutelage	n．监护，指导
tutelary	adj．监护的，保护的
tutor	n.助教；监护人；v.辅导
tutorial	n. 个别指导
tuxedo	n.无尾礼服(半正式晚礼服)
twaddle	n．胡说八道，瞎扯
tweak	v.扭;扯
twee	adj.脆弱的，故作多情的
tweezers	n. 镊子
twiddle	v.旋弄
twig	n.小枝，嫩枝
twilight	n.黎明，黄昏；曙光
twinge	n.(生理，心理上的)剧痛
twinkle	vi.(星等)闪烁；(眼睛)发亮 n.闪烁；闪亮
twirl	v.旋转，急转
twist	v./n.扭曲，扭伤；缠绕
twit	v.嘲笑，挖苦
twitch	v.拉
tycoon	n．有钱有势的企业家，大亨
typhoid	n.伤寒症
typhoon	n.台风
typical	a.典型的，有代表性的
typo	n.排印错误
typographical	a.印刷上的
typology	n.［语］类型学;象征论
tyrannical	a.暴君的,专制的,残酷的
tyranny	n.暴政，专制统治；暴行
tyrant	n.暴君
tyre	n.轮胎
tyro	n.新手
tyrosine	n.［生化］酷氨酸
ubiquitous	a.无所不在的
ugly	a.难看的，可怕的
ulcer	n.溃疡；腐烂物
ulcerate	v．溃烂，生恶疮
ulterior	adj．较晚的，较远的，不可告人的
ultimate	a.最后的
ultimately	ad.最后，最终
ultimatum	n.最后通牒
ultramundane	adj．超俗的，世界之外的
ultrasonic	a.超声的 n.超声波
ultrasonics	n.超音波学
ultraviolet	a.紫外线的 n.紫外线辐射
umbrage	n.不快，感到受了侮辱或冒犯
umpire	n.裁判；v.对…进行仲裁
umpteen	adj.汗多的，大量的
unabashed	adj．不畏惧的，不害躁的
unabridged	a.未删节的
unadvised	adj．草率的，鲁莽的
unaffected	a.自然的，不矫揉造作的
unalloyed	adj．未掺杂的，纯粹的
unanimity	n.全体一致，一致同意
unanimous	a.全体意见一致的
unassuming	a.不摆架子的，不造作的
unattended	a.未被注意的
unavailing	adj．无结果的，徒劳无功的
unbecoming	a.不合身的；不得体的，不适当的
unbend	v.弄直；放松，变得随便
unbiased	adj.公正的
unbidden	adj．未经请求的，未经邀请的
unblemished	adj.无瑕疵的；清白的
unbosom	v.吐露心事
unbridled	a.(马等)脱缰的;放纵的,无约束的
unbuttoned	v.解开…的纽扣
uncalled-for	a. 不必要的,多余的,越分的
uncanny	a.不可思议的，异乎寻常的
uncap	v. 脱掉帽子,打开盖
uncharitable	a.不宽厚的
uncharted	adj．地图上没标明的
uncommitted	a.不受约束的；不承担责任的
unconditional	a. 无条件的,无限制的,绝对的
unconscionable	a.无节制的，过度的，不合理的
unconscious	a.不省人事的；未意识到的
unconventional	a.不遵循传统的
uncooperative	a.不合作的
uncouth	a.粗野笨拙的，无教养的；拙于说话的
unction	n.涂油礼
unctuous	a.油质的；油腔滑调的
undaunted	adj．不屈不挠的，无畏的
undeniable	a. 不可否认的
underbid	v.要价过低
undercharge	v. 索价低于常价,不装足够的火药,
undercut	v.削价与(竞争者)抢生意
underdog	n.处于劣势的人或国家
underestimate	v.低估，看轻
underestimated	a.低估的
undergird	v.从底部加强，加固
undergo	v.经历,忍受;经受
undergraduate	n.大学生
underhanded	a.不光明的，卑鄙的
underline	v.强调；在…下划线
underling	n.下属，手下
underlying	a.在下面的，根本的
undermine	v.(从根基处)破坏，损坏
underneath	prep.在…下面；在下面
underpin	v.在....下面加基础;(喻)巩固
underplay	v.淡化…的重要性；表演(角色)不充分
underrate	v.低估，轻视，对…评价过低
underscore	v.在…之下划线；强调
understate	v.掩饰地说，轻描淡写地说
understated	a.不完全陈述的，轻描淡写的
understatement	n.轻描淡写的陈述，不充分的陈述
understudy	n.预备演员，替角；v.充当…的替角
undertake	v.着手做，从事，承担；保证，答应
undertaker	n.殡仪员
undertaking	v.着手作
underutilized	a.未充分利用的
underwrite	v.同意负担…的费用；为…保险
undeserved	a.不应得的，不公平的
undesirable	a.令人不悦的，讨厌的；不想要的
undirected	a.未受指导的
undisputable	a.无可置否的
undo	v.解开，松开；取消
undoubtedly	ad.不容置疑地，肯定地
undue	a. 不适当的,过度的,未到期的
undulate	v．波动，起伏
unduly	ad. 不适当地,过度地
unearth	v.挖出；发现
unearthly	a.奇异的，超自然的
uneasy	a.不安的，担心的；拘束的；不稳定的
unemphatic	a.不强调的
unemployment	n.失业(人数)
unenlightened	a.愚昧无知的；不文明的
uneven	adj. 不平的，不平衡的
unexampled	adj．空前的，无前
unexceptionable	a.无可非议的
unexceptional	a.普通的
unfailing	a.无尽的，无穷的
unfair	a.不公平的
unfaltering	a.稳步的
unfasten	v.解开
unfathomed	adj．深不可测的，无法理解的
unfeigned	a.真实的；不作假的
unfettered	adj．无忧无虑的
unflappable	a.不惊慌的，镇定的
unfold	v.展开，打开；逐渐呈现
unfortunately	adv.不幸的是
unfounded	a.无事实根据的
unfrock	v.解除僧职
ungainly	a.笨拙的
ungrateful	a.不感激的
ungrudging	a.慷慨的
unguarded	adj．不留神的，没有防备的
unguent	n.药膏，软膏
unhinge	v.使发狂，使错乱
unicameral	a.(议会)一院制的,单院的
unicorn	n.(传说中的)独角兽
unidimensional	a.一方面的；一维的
unification	n.统一，一致
uniform	n.制服；a.相同的，一致的
unify	v.统一，使成一体；使相同
unilateral	a. 单方面,单边的,片面的
unimpassioned	a.没有激情的
unimpeachable	a.无可指摘的，无可置疑的
uninitiated	a.外行的，缺乏经验的
unionization	n.加入工会
unique	a.独一无二的，独特的
unison	n.一致,调合
unity	n.联合
universal	a.普通的；通用的，一般的；全球的，宇宙的
universality	n.普遍性,一般性;(知识,才能,兴趣等)多方面性)
universe	n.宇宙
univocal	a.单一意思的，意思明确的
unjustified	a.未被证明为正当的，无法解释的
unjustly	adv.不正当地，不公平地
unkempt	a.(衣服、头发)不整洁的
unleash	v.发泄，释放
unlikely	a.不大可能的
unmask	v.揭露；揭发
unmitigated	a.未缓和的，未减轻的，全然的
unmoved	a.无动于衷的，冷漠的；镇定的
unnerve	v.使担忧
unnoticed	a.不引人注意的
unobtrusive	a.不引人注目的
unofficial	a. 非正式的,非公认的,无许可的
unpalatable	a.令人讨厌的，令人无法认同的
unparalleled	a.无比的,无双的,空前未有的
unplumbed	a.未用铅锤测过深度的
unprecedented	a.前所未有的
unpremeditated	a.非预谋的
unprepossessing	a.不吸引人的
unpretentious	a.不炫耀的，不招摇的
unprincipled	a.肆无忌惮的，不道德的
unproductive	a.徒然的，无成效的
unprovoked	a.(生气等)无缘无故的
unqualified	a.无资格的；无限制的，绝对的
unquenchable	adj.难抑制的
unravel	v.解开，拆散
unregenerate	a.不知悔改的
unregulated	a.未受管理的，未受约束的
unremitting	a.不间断的，持续的
unrepentant	a.不悔悟的，不后悔的
unrequited	a.无报答的，无回报的
unreserved	a.无限制的；未被预定的
unrest	n.(社会上的)不安，不稳，(心中的)不安
unruly	adj．粗野的，无法无天的
unsalubrious	a.无益于健康的
unsavory	a.没有味道的
unscathed	a.未受损伤的，未遭伤害的
unscented	a.无气味的
unscrupulous	a.肆无忌惮的，无道德原则的
unscrupulousness	n.狂妄，肆无忌惮
unseemly	a.不适当的，不宜的
unsettle	v.使不安宁，搅乱
unsettling	a.令人不安的，扰乱的，使窘困的
unshaken	a.坚定的
unsightly	a.难看的
unsound	a.不结实的，不坚固的；无根据的
unspoiled	a.未损坏的，未宠坏的
unspotted	a.清白的，无污点的
unstable	a.不稳定的
unstinting	a.极为慷慨的，大方的
unstudied	adj．不造作的，优雅的
unsubstantiated	a.未经证实的，无事实根据的
untapped	a.未开发的，未利用的
untempered	a.未经缓和的
untenable	a.难以防守的,站不住脚的
unthinkable	adj.不可想象的
unthreatening	a.不威胁的
untimely	a.过早的；不适时的
untold	a.无数的，数不清的
untoward	a.不幸的，(坏事)没料到的
untrammeled	a.自由自在的
untutored	a.未经教育的
unveil	v.揭开; 揭幕; 揭露
unversed	adj不熟练的，不熟知的
unviable	a.不能生存的,行不通的
unwarranted	a.没有根据的，不应当的
unwieldy	a.笨重的，笨拙的
unwitting	a.无心的，不经意的
unwonted	a.不寻常的；不习惯的
unworldly	a.非世俗的；精神上的
up-to-date	a. 直到现在的,最近的,当代的
upbraid	v.斥责，责骂
upbringing	n. 教养
update	v.使…成最新，更新 n.最新版
updrafts	n.向上排气,通风
upfront	a.正直的
upgrade	v.提升，给…升级
upheaval	n.动乱，大变动
uphold	v.维护，支持
upholster	v. 装饰,装潢
upholstery	n．室内装潢品（地毯，窗帘等）
upkeep	n. 维持,维修费
upright	a.垂直的；正直的
uprising	n. 起义,升起
uproar	n.喧闹，骚动
uproarious	a.骚动的，喧嚣的；令人捧腹(大笑)的，非常有趣的
uproot	v.连根拔
upscale clientele	n.高层次的顾客
upset	v.打翻，弄翻；扰乱；使不安
upshot	n.结果，结局
upstage	a.骄傲的，高傲的
upstart	n．突然升官的人，暴发户
upstate	a.(指美国的一州内)远离大城市的,偏北的
upsurge	n.高潮
upswing	n.上升，增长
uptake	n.摄取，领会
uptight	adj．焦虑不安的，紧张的
upturn	n.(情况)好转;(价格)提高;向上的趋势
uranium	n.［化］
Uranus	n.天王星
urban	a.都市的
urbane	adj．温文尔雅的，懂礼的
urchin	n.海胆,刺猬;小淘气,顽童
urge	v.推进，驱策
urgent	a.迫切的，紧急的
ursine	adj．熊的，像熊的
useless	a.无用的
usher	n．领座员，招待员，v．引，领
usurious	adj．放高利贷的
usurp	v.篡夺，霸占(权位)
usury	n.放高利贷
utensil	n．工具，（厨房）用具
utilitarian	a.功利的，实用的
utility	n.用途，使用价值；公用事业
utilize	v.利用，使用
utmost	a.极度的；最远的 n.极限，最大可能
utopia	n.理想国，理想的完美境界
utopian	a.乌托邦式的，空想的，不切实际的
utter	a.完全的；v.发出声音
utterly	ad.完全地，全部地
uxorious	adj．宠爱妻子的
vacancy	n.空白,空缺
vacant	a.空的；(职位等)空缺的；茫然的
vacate	v．空出
vacation	n.假期，休假；空出，腾出
vaccinate	v.给…接种疫苗
vaccination	n．预防注射，种痘
vaccine	n.牛痘苗，疫苗
vacillate	v.举棋不定，踌躇
vacillation	v.犹豫不定
vacuity	n．（想象力等）贫乏，无聊，空白
vacuous	a.发呆的，愚笨的
vacuum	n.真空
vagabond	n．浪荡子，流浪者，adj．流浪的
vagary	n.奇想，异想天开
vagrancy	n.游荡，流浪
vagrant	a.漂泊的，流浪的；n.流浪汉，居无定所或无固定工作的人
vague	a.模糊的
vain	a.自负的；徒劳的，无效的
vainglorious	adj．自负的，虚荣心强的
valance	n.窗帘上部的框架
valediction	n.告别演说
valedictory	a.告别的，离别的
